UNIX_TIME,ASSET_NAME,RECORDING_ID,POSITION_YARDS,LATITUDE,LONGITUDE,SCORE
1655445022,"Temperature Exceedence",131154,4092,51.500071,-0.076659,53
1655445023,"Temperature Exceedence",131154,4070,51.500118,-0.076755,56
1655445035,"Temperature Exceedence",131154,3938,51.50081,-0.078005,68
1655445314,"Temperature Exceedence",131154,1848,51.504149,-0.101938,78
1655446595,"Temperature Exceedence",131158,1848,51.504216,-0.102105,64
1655452172,"Temperature Exceedence",131174,9262,51.471327,-0.02721,52
1655452187,"Temperature Exceedence",131174,9130,51.472509,-0.029157,60
1655452440,"Temperature Exceedence",131174,4070,51.50012,-0.076693,64
1655452448,"Temperature Exceedence",131174,3938,51.500795,-0.077997,74
1655452746,"Temperature Exceedence",131174,1870,51.504197,-0.101853,79
1655452747,"Temperature Exceedence",131174,1848,51.504202,-0.101953,80
1655452830,"Temperature Exceedence",131174,1364,51.504316,-0.108476,54
1655453000,"Temperature Exceedence",131174,792,51.504755,-0.11544,59
1655453001,"Temperature Exceedence",131174,792,51.504771,-0.115508,64
1655454000,"Temperature Exceedence",131176,792,51.504868,-0.115626,59
1655704013,"Temperature Exceedence",131379,9130,51.472507,-0.029143,63
1655704274,"Temperature Exceedence",131379,4092,51.500015,-0.076469,54
1655704275,"Temperature Exceedence",131379,4070,51.500094,-0.076652,55
1655704283,"Temperature Exceedence",131379,3938,51.500816,-0.077962,59
1655704575,"Temperature Exceedence",131379,1870,51.504153,-0.101782,57
1655704576,"Temperature Exceedence",131379,1848,51.504164,-0.101929,70
1655704625,"Temperature Exceedence",131379,1342,51.504288,-0.10852,55
1655705811,"Temperature Exceedence",131379,1870,51.504186,-0.102084,70
1655705812,"Temperature Exceedence",131379,1870,51.504171,-0.101953,59
1655706228,"Temperature Exceedence",131379,5676,51.492321,-0.060303,55
1655706229,"Temperature Exceedence",131379,5676,51.492277,-0.060198,54
1655711402,"Temperature Exceedence",131396,9108,51.47266,-0.029188,68
1655711676,"Temperature Exceedence",131396,4092,51.500094,-0.076683,63
1655711677,"Temperature Exceedence",131396,4070,51.500149,-0.076778,64
1655711689,"Temperature Exceedence",131396,3960,51.500799,-0.077955,63
1655711690,"Temperature Exceedence",131396,3938,51.500854,-0.078073,68
1655711711,"Temperature Exceedence",131396,3718,51.502061,-0.080302,54
1655712031,"Temperature Exceedence",131396,1870,51.504163,-0.101812,69
1655712032,"Temperature Exceedence",131396,1848,51.504174,-0.101933,80
1655713345,"Temperature Exceedence",131408,1848,51.504207,-0.102192,67
1655721443,"Temperature Exceedence",131425,9108,51.472684,-0.029216,61
1655721724,"Temperature Exceedence",131425,3938,51.50083,-0.077974,57
1655722028,"Temperature Exceedence",131425,1870,51.504156,-0.101717,74
1655722029,"Temperature Exceedence",131425,1848,51.504167,-0.101878,79
1656308984,"Temperature Exceedence",132525,4070,51.5001,-0.076791,64
1656308985,"Temperature Exceedence",132525,4070,51.500157,-0.076911,64
1656308998,"Temperature Exceedence",132525,3938,51.500896,-0.078269,64
1656308997,"Temperature Exceedence",132525,3938,51.500837,-0.078167,66
1656309301,"Temperature Exceedence",132525,1848,51.50411,-0.102013,71
1656309302,"Temperature Exceedence",132525,1848,51.50413,-0.102115,60
1656310588,"Temperature Exceedence",132528,1848,51.503949,-0.10217,59
1656316534,"Temperature Exceedence",132537,4070,51.50017,-0.076868,52
1656316535,"Temperature Exceedence",132537,4070,51.500193,-0.07691,59
1656316536,"Temperature Exceedence",132537,4070,51.500219,-0.076956,56
1656316552,"Temperature Exceedence",132537,3938,51.500899,-0.078186,64
1656316553,"Temperature Exceedence",132537,3916,51.500952,-0.078284,63
1656316908,"Temperature Exceedence",132537,1848,51.504141,-0.102088,71
1656317892,"Temperature Exceedence",132542,374,51.506328,-0.12066,52
1656326517,"Temperature Exceedence",132562,4048,51.500252,-0.076981,59
1656326529,"Temperature Exceedence",132562,3916,51.500952,-0.078341,63
1656326822,"Temperature Exceedence",132562,1848,51.504159,-0.102049,80
1656328563,"Temperature Exceedence",132565,1848,51.504162,-0.102377,56
1656334177,"Temperature Exceedence",132588,9262,51.471798,-0.027955,55
1656334197,"Temperature Exceedence",132588,9108,51.472686,-0.029334,54
1656334457,"Temperature Exceedence",132588,4070,51.500117,-0.07692,63
1656334467,"Temperature Exceedence",132588,3938,51.500858,-0.07827,63
1656334785,"Temperature Exceedence",132588,1848,51.504067,-0.101924,73
1656336208,"Temperature Exceedence",132595,2530,51.504427,-0.093322,56
1656336270,"Temperature Exceedence",132595,3190,51.504947,-0.085552,51
1656336312,"Temperature Exceedence",132595,3454,51.503413,-0.083104,51
1656336565,"Temperature Exceedence",132595,5654,51.492348,-0.060511,51
1656395296,"Temperature Exceedence",132743,4070,51.500193,-0.076775,64
1656395310,"Temperature Exceedence",132743,3938,51.500847,-0.078039,60
1656395311,"Temperature Exceedence",132743,3938,51.50089,-0.078119,64
1656395629,"Temperature Exceedence",132743,1870,51.50419,-0.101794,57
1656395630,"Temperature Exceedence",132743,1870,51.504198,-0.101856,69
1656395631,"Temperature Exceedence",132743,1870,51.504208,-0.101917,78
1656395632,"Temperature Exceedence",132743,1848,51.504229,-0.101955,80
1656396980,"Temperature Exceedence",132760,1848,51.504236,-0.102093,60
1656396981,"Temperature Exceedence",132760,1848,51.504241,-0.102031,57
1656396982,"Temperature Exceedence",132760,1870,51.504243,-0.101978,59
1656396983,"Temperature Exceedence",132760,1870,51.504249,-0.101929,55
1656402524,"Temperature Exceedence",132775,9130,51.472551,-0.029078,64
1656402525,"Temperature Exceedence",132775,9108,51.472638,-0.029193,64
1656402830,"Temperature Exceedence",132775,4092,51.500028,-0.076502,59
1656402831,"Temperature Exceedence",132775,4070,51.500101,-0.076646,60
1656402840,"Temperature Exceedence",132775,3960,51.500766,-0.077913,60
1656403132,"Temperature Exceedence",132775,1870,51.504152,-0.101822,62
1656403133,"Temperature Exceedence",132775,1848,51.504156,-0.101935,78
1656403134,"Temperature Exceedence",132775,1848,51.504169,-0.102027,80
1656403338,"Temperature Exceedence",132775,1012,51.50404,-0.112804,52
1656404510,"Temperature Exceedence",132781,1848,51.504191,-0.102244,62
1656404961,"Temperature Exceedence",132781,5676,51.492284,-0.060256,58
1656412915,"Temperature Exceedence",132792,4070,51.500222,-0.076619,56
1656412924,"Temperature Exceedence",132792,3916,51.501021,-0.078032,61
1656413217,"Temperature Exceedence",132792,1870,51.504177,-0.101708,74
1656413218,"Temperature Exceedence",132792,1848,51.504163,-0.101851,77
1656414963,"Temperature Exceedence",132796,1870,51.5042,-0.102073,60
1656420685,"Temperature Exceedence",132806,4070,51.500138,-0.076758,56
1656420693,"Temperature Exceedence",132806,3938,51.500866,-0.078082,61
1656420738,"Temperature Exceedence",132806,3454,51.503307,-0.083096,56
